STATE,COUNTY,PS-WGWFr,PS-WGWSa,PS-WSWFr,PS-WSWSa,DO-WGWFr,DO-WSWFr,IN-WGWFr,IN-WGWSa,IN-WSWFr,IN-WSWSa,IR-WGWFr,IR-WSWFr,IR-IrSpr,IR-IrMic,IR-IrSur,IC-WGWFr,IC-WSWFr,IC-IrSpr,IC-IrMic,IC-IrSur,IG-WGWFr,IG-WSWFr,IG-IrSpr,IG-IrMic,IG-IrSur,LI-WGWFr,LI-WSWFr,AQ-WGWFr,AQ-WGWSa,AQ-WSWFr,AQ-WSWSa,MI-WGWFr,MI-WGWSa,MI-WSWFr,MI-WSWSa,PT-WGWFr,PT-WGWSa,PT-WSWFr,PT-WSWSa,PO-WGWFr,PO-WGWSa,PO-WSWFr,PO-WSWSa,PC-WGWFr,PC-WGWSa,PC-WSWFr,PC-WSWSa
IN,Porter County,3.99,0.00,9.92,0.00,3.80,0.00,0.42,0.00,410.44,0.00,0.71,0.39,8.86,0.00,0.00,,,,,,,,,,,0.07,0.04,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,169.67,0.00,0.00,0.00,169.67,0.00,0.00,0.00,0.00,0.00
IN,Posey County,0.29,0.00,0.83,0.00,0.95,0.00,0.00,0.00,8.62,0.00,3.35,0.10,8.81,0.00,0.00,,,,,,,,,,,0.10,0.07,0.00,,0.01,,0.00,0.00,0.00,0.00,0.30,0.00,4.32,0.00,0.00,0.00,0.00,0.00,0.30,0.00,4.32,0.00
IN,Pulaski County,0.28,0.00,0.00,0.00,0.69,0.00,0.24,0.00,0.00,0.00,2.50,0.86,19.98,0.00,0.00,,,,,,,,,,,0.51,0.10,0.00,,0.00,,0.00,0.00,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Putnam County,4.36,0.00,0.00,0.00,1.17,0.00,1.74,0.00,0.45,0.00,0.00,0.00,2.00,0.00,0.00,,,,,,,,,,,0.16,0.13,0.21,,0.00,,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Randolph County,2.20,0.00,0.00,0.00,0.92,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.08,0.00,0.00,,,,,,,,,,,0.31,0.13,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Ripley County,0.08,0.00,1.85,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,,,,,,,,,,,0.15,0.17,0.00,,0.00,,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Rush County,1.23,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,,,,,,,,,,,0.68,0.23,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,St Joseph County,22.32,0.00,0.00,0.00,5.80,0.00,8.05,0.00,0.00,0.00,6.94,0.70,25.01,0.00,0.00,,,,,,,,,,,0.18,0.09,1.54,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Scott County,0.00,0.00,2.60,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,,,,,,,,,,,0.01,0.04,0.00,,0.00,,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Shelby County,5.05,0.00,0.00,0.00,1.79,0.00,0.02,0.00,0.00,0.00,0.77,0.22,3.33,0.00,0.00,,,,,,,,,,,0.20,0.05,0.00,,0.00,,0.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Spencer County,2.04,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.43,0.00,0.00,,,,,,,,,,,0.24,0.19,0.00,,0.00,,0.00,0.00,0.00,0.00,0.54,0.00,29.42,0.00,0.00,0.00,0.00,0.00,0.54,0.00,29.42,0.00
IN,Starke County,0.65,0.00,0.00,0.00,1.36,0.00,0.00,0.00,0.00,0.00,3.20,0.87,17.30,0.00,0.00,,,,,,,,,,,0.01,0.02,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Steuben County,1.36,0.00,0.00,0.00,1.81,0.00,0.01,0.00,0.03,0.00,0.79,0.22,1.54,0.00,0.00,,,,,,,,,,,0.09,0.12,0.22,,0.03,,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Sullivan County,1.29,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,2.36,0.02,9.66,0.00,0.00,,,,,,,,,,,0.05,0.05,0.00,,0.00,,0.00,0.00,1.87,0.00,3.06,0.00,414.92,0.00,3.06,0.00,414.92,0.00,0.00,0.00,0.00,0.00
IN,Switzerland County,1.24,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,,,,,,,,,,,0.05,0.04,0.00,,0.00,,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Tippecanoe County,14.41,0.00,0.00,0.00,2.71,0.00,15.43,0.00,0.00,0.00,0.60,0.00,5.53,0.00,0.00,,,,,,,,,,,0.30,0.07,0.00,,0.00,,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Tipton County,0.91,0.00,0.00,0.00,0.61,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.00,,,,,,,,,,,0.29,0.02,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Union County,0.32,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,,,,,,,,,,0.09,0.03,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Vanderburgh County,0.00,0.00,27.92,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.19,0.00,1.00,0.00,0.00,,,,,,,,,,,0.04,0.04,0.00,,0.00,,0.00,0.00,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Vermillion County,1.34,0.00,0.00,0.00,0.24,0.00,4.33,0.00,0.00,0.00,0.31,0.00,1.50,0.00,0.00,,,,,,,,,,,0.14,0.08,0.00,,0.00,,0.00,0.00,0.08,0.00,0.03,0.00,616.66,0.00,0.03,0.00,616.66,0.00,0.00,0.00,0.00,0.00
IN,Vigo County,9.08,0.00,0.00,0.00,2.16,0.00,1.95,0.00,0.00,0.00,0.98,0.29,2.13,0.00,0.00,,,,,,,,,,,0.04,0.02,0.00,,0.00,,0.34,0.00,1.53,0.00,1.47,0.00,316.47,0.00,0.00,0.00,316.47,0.00,1.47,0.00,0.00,0.00
IN,Wabash County,3.30,0.00,0.00,0.00,0.97,0.00,1.16,0.00,0.00,0.00,0.35,0.07,1.09,0.00,0.00,,,,,,,,,,,0.85,0.27,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Warren County,0.57,0.00,0.00,0.00,0.43,0.00,0.13,0.00,0.00,0.00,0.07,0.00,4.36,0.00,0.00,,,,,,,,,,,0.24,0.10,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Warrick County,3.34,0.00,0.00,0.00,0.37,0.00,4.08,0.00,543.07,0.00,0.00,0.00,0.16,0.00,0.00,,,,,,,,,,,0.05,0.05,0.00,,0.00,,0.00,0.00,0.08,0.00,0.40,0.00,209.84,0.00,0.40,0.00,209.84,0.00,0.00,0.00,0.00,0.00
IN,Washington County,0.14,0.00,2.25,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,,,,,,,,,,,0.32,0.32,0.00,,0.00,,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Wayne County,3.53,0.00,3.07,0.00,1.33,0.00,0.06,0.00,2.30,0.00,0.04,0.00,0.20,0.00,0.00,,,,,,,,,,,0.19,0.18,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00
IN,Wells County,2.05,0.00,0.00,0.00,1.06,0.00,2.19,0.00,1.36,0.00,0.00,0.00,0.07,0.00,0.00,,,,,,,,,,,0.36,0.13,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,White County,1.07,0.00,0.00,0.00,1.10,0.00,0.01,0.00,0.00,0.00,1.45,0.03,3.37,0.00,0.00,,,,,,,,,,,1.15,0.16,0.00,,0.00,,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Whitley County,1.53,0.00,0.00,0.00,1.59,0.00,0.75,0.00,0.00,0.00,0.00,0.16,1.01,0.00,0.00,,,,,,,,,,,0.28,0.09,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Adair County,0.58,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.10,0.00,0.00,0.04,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.16,0.00,,0.00,,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Adams County,0.00,0.00,0.85,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.15,0.00,,0.00,,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Allamakee County,0.96,0.00,0.00,0.00,0.42,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.33,0.00,,0.00,,0.00,0.00,0.02,0.00,0.00,0.00,120.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00
IA,Appanoose County,0.78,0.00,6.42,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.09,3.30,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Audubon County,0.36,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.39,0.00,,0.00,,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Benton County,1.40,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.11,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.03,0.00,0.07,0.00,0.00,0.81,0.28,0.00,,0.00,,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Black Hawk County,17.60,0.00,0.00,0.00,0.68,0.00,12.32,0.00,0.00,0.00,0.16,0.00,0.65,0.00,0.00,0.07,0.00,0.52,0.00,0.00,0.09,0.00,0.13,0.00,0.00,0.61,0.20,0.00,,0.00,,0.31,0.00,5.03,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00
IA,Boone County,2.42,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.10,0.00,0.00,0.37,0.13,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Bremer County,1.52,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.63,0.00,0.00,0.01,0.00,0.60,0.00,0.00,0.02,0.00,0.03,0.00,0.00,0.63,0.20,0.00,,0.00,,0.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Buchanan County,1.19,0.00,0.00,0.00,0.53,0.00,0.57,0.00,0.00,0.00,0.01,0.00,0.20,0.00,0.00,0.01,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.42,0.00,,0.00,,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Buena Vista County,3.89,0.00,0.00,0.00,0.27,0.00,1.18,0.00,0.00,0.00,0.06,0.00,0.45,0.00,0.00,0.01,0.00,0.30,0.00,0.00,0.05,0.00,0.15,0.00,0.00,2.06,0.69,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Butler County,0.86,0.00,0.00,0.00,0.36,0.00,0.99,0.00,0.00,0.00,0.04,0.00,0.23,0.00,0.00,0.04,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.43,0.00,,0.00,,0.00,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Calhoun County,1.10,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.42,0.00,0.00,0.05,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.36,0.00,,0.00,,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Carroll County,2.42,0.00,0.00,0.00,0.29,0.00,0.27,0.00,0.00,0.00,0.08,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.00,0.00,2.54,0.83,0.25,,0.10,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Cass County,1.33,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.27,0.00,,0.00,,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Cedar County,1.21,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.07,0.00,0.00,0.77,0.25,0.00,,0.00,,0.00,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Cerro Gordo County,6.44,0.00,0.00,0.00,0.33,0.00,1.05,0.00,0.00,0.00,0.05,0.16,1.66,0.00,0.00,0.00,0.16,1.52,0.00,0.00,0.05,0.00,0.14,0.00,0.00,0.50,0.16,0.00,,0.00,,0.02,0.00,0.66,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00
IA,Cherokee County,2.65,0.00,0.00,0.00,0.23,0.00,1.43,0.00,0.00,0.00,0.20,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.15,0.00,0.00,1.49,0.50,0.00,,0.00,,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Chickasaw County,0.85,0.00,0.00,0.00,0.33,0.00,1.17,0.00,0.00,0.00,0.06,0.00,1.05,0.00,0.00,0.05,0.00,1.03,0.00,0.00,0.01,0.00,0.02,0.00,0.00,1.16,0.39,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Clarke County,1.24,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.15,0.00,,0.00,,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Clay County,2.38,0.00,0.00,0.00,0.21,0.00,0.01,0.00,0.00,0.00,0.15,0.00,0.51,0.00,0.00,0.02,0.00,0.38,0.00,0.00,0.13,0.00,0.13,0.00,0.00,1.04,0.35,0.00,,0.00,,0.00,0.00,0.03,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00
IA,Clayton County,0.81,0.00,0.00,0.00,0.54,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.51,2.05,,0.00,,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Clinton County,4.86,0.00,0.00,0.00,0.53,0.00,9.85,0.00,0.19,0.00,0.04,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.22,0.00,0.00,0.84,0.27,0.49,,0.00,,0.00,0.00,2.20,0.00,0.00,0.00,87.60,0.00,0.00,0.00,87.60,0.00,0.00,0.00,0.00,0.00
IA,Crawford County,3.23,0.00,0.00,0.00,0.29,0.00,1.35,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,1.53,0.52,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Dallas County,2.57,0.00,0.02,0.00,0.67,0.00,1.24,0.00,0.00,0.00,0.28,0.01,0.92,0.00,0.00,0.10,0.00,0.39,0.00,0.00,0.18,0.01,0.53,0.00,0.00,0.35,0.11,0.00,,0.00,,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Davis County,0.00,0.00,0.26,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.20,0.00,,0.00,,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Decatur County,0.29,0.00,0.30,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.16,0.00,,0.00,,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Delaware County,0.92,0.00,0.00,0.00,0.55,0.00,1.20,0.00,0.00,0.00,0.00,0.03,0.08,0.00,0.00,0.00,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.78,1.58,,0.79,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Des Moines County,6.84,0.00,0.00,0.00,0.40,0.00,1.11,0.00,0.00,0.00,0.42,0.02,3.24,0.00,0.00,0.37,0.02,3.20,0.00,0.00,0.05,0.00,0.04,0.00,0.00,0.20,0.06,0.00,,0.00,,0.33,0.00,0.39,0.00,0.00,0.00,67.50,0.00,0.00,0.00,67.50,0.00,0.00,0.00,0.00,0.00
IA,Dickinson County,0.05,0.00,2.04,0.00,0.31,0.00,0.56,0.00,0.00,0.00,0.24,0.01,0.66,0.00,0.00,0.11,0.00,0.37,0.00,0.00,0.13,0.01,0.29,0.00,0.00,0.39,0.14,1.80,,1.80,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Dubuque County,8.37,0.00,0.00,0.00,1.24,0.00,5.85,0.00,0.00,0.00,0.19,0.01,0.24,0.00,0.00,0.05,0.01,0.12,0.00,0.00,0.14,0.00,0.12,0.00,0.00,2.19,0.73,0.00,,0.00,,0.00,0.00,0.39,0.00,0.00,0.00,21.50,0.00,0.00,0.00,21.50,0.00,0.00,0.00,0.00,0.00
IA,Emmet County,1.25,0.00,0.00,0.00,0.15,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.13,0.00,0.00,0.02,0.00,0.13,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.95,0.32,0.00,,0.00,,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Fayette County,1.22,0.00,0.00,0.00,0.43,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.53,0.00,0.00,0.08,0.00,0.48,0.00,0.00,0.04,0.00,0.05,0.00,0.00,1.55,0.52,0.00,,0.10,,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Floyd County,2.55,0.00,0.00,0.00,0.34,0.00,0.08,0.00,0.00,0.00,0.15,0.00,1.40,0.00,0.00,0.14,0.00,1.21,0.00,0.00,0.01,0.00,0.19,0.00,0.00,0.70,0.23,0.00,,0.00,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Franklin County,0.67,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.09,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.02,0.03,0.04,0.00,0.00,2.03,0.69,0.00,,0.00,,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Fremont County,0.61,0.00,0.00,0.00,0.19,0.00,0.17,0.00,0.00,0.00,0.69,0.00,4.57,0.00,0.00,0.68,0.00,4.47,0.00,0.00,0.01,0.00,0.10,0.00,0.00,0.16,0.05,0.49,,0.21,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Greene County,0.72,0.00,0.00,0.00,0.17,0.00,1.06,0.00,0.00,0.00,0.13,0.00,0.35,0.00,0.00,0.09,0.00,0.32,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.61,0.21,0.00,,0.00,,0.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Grundy County,0.72,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.00,0.88,0.28,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Guthrie County,1.14,0.00,0.14,0.00,0.34,0.00,0.40,0.00,0.00,0.00,0.23,0.08,1.16,0.00,0.00,0.23,0.00,1.07,0.00,0.00,0.00,0.08,0.09,0.00,0.00,0.67,0.22,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Hamilton County,1.39,0.00,0.00,0.00,0.25,0.00,0.02,0.00,0.00,0.00,0.04,0.00,0.20,0.00,0.00,0.03,0.00,0.20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.61,0.54,0.00,,0.00,,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Hancock County,0.62,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.15,0.00,1.36,0.00,0.00,0.14,0.00,1.31,0.00,0.00,0.01,0.00,0.05,0.00,0.00,1.11,0.33,0.25,,0.10,,0.00,0.00,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Hardin County,1.41,0.00,0.00,0.00,0.30,0.00,2.14,0.00,0.00,0.00,0.01,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.09,0.00,0.00,2.98,1.00,0.25,,0.10,,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Harrison County,0.98,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,7.25,0.00,31.47,0.00,0.00,7.22,0.00,31.43,0.00,0.00,0.03,0.00,0.04,0.00,0.00,0.33,0.11,0.00,,0.00,,0.00,0.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Henry County,2.13,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.16,0.00,,0.04,,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Howard County,0.46,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,1.04,0.34,0.00,,0.00,,0.00,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Humboldt County,0.87,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.16,0.00,,0.00,,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
